year,count_emp_722511,count_emp_722513,count_emp_722515,count_emp_722410
2003,2.7424441524310117,0.5124835742444153,0.17345597897503284,0.3968462549277267
2004,2.8817345597897503,0.5755584756898817,0.19448094612352168,0.4336399474375821
2005,3.0946123521681996,0.6780551905387647,0.24441524310118265,0.4835742444152431
2006,3.946123521681997,0.7963206307490145,0.31537450722733246,0.4940867279894875
2007,4.115637319316688,0.8633377135348226,0.31537450722733246,0.5755584756898817
2008,3.868593955321945,0.900131406044678,0.2759526938239159,0.6110381077529566
2009,3.480946123521682,0.9027595269382391,0.24441524310118265,0.6517739816031537
2010,3.8817345597897503,1.1156373193166886,0.2720105124835742,0.683311432325887
2011,4.114323258869908,1.2720105124835743,0.27726675427069647,0.7306176084099869
2012,4.323258869908016,1.3968462549277267,0.2982917214191853,0.721419185282523
2013,4.586070959264126,1.5151116951379764,0.32588699080157685,0.6819973718791065
2014,4.877792378449409,1.6819973718791064,0.38370565045992117,0.6675427069645203
2015,5.291721419185283,1.823915900131406,0.40473061760841,0.6320630749014454
2017,5.3731931668856765,1.8304862023653088,0.4021024967148489,0.5676741130091985
